time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-19T18:43:42.340Z,36.9766655,-118.9161682,34.48,2.64,md,11,215,0.6162,0.05,nc,nc73735741,2022-05-20T01:24:37.211Z,"38km ESE of Shaver Lake, CA",earthquake,5.01,2.7,0.09,3,automatic,nc,nc
2022-05-19T16:03:51.236Z,55.2956,-154.8892,10,3.1,ml,,,,0.93,ak,ak0226e59228,2022-05-19T21:59:36.040Z,"189 km SSW of Akhiok, Alaska",earthquake,,0,,,reviewed,ak,ak
2022-05-19T16:00:59.038Z,62.8195,-148.8395,49.2,2.5,ml,,,,0.68,ak,ak0226e58atk,2022-05-19T20:02:38.040Z,"64 km S of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-19T15:29:14.087Z,1.7094,126.4477,12.19,5.2,mww,,31,1.308,1.05,us,us6000hmci,2022-05-20T15:58:48.305Z,"145 km NW of Ternate, Indonesia",earthquake,5.5,2.9,0.093,11,reviewed,us,us
2022-05-19T15:14:13.445Z,31.66809082,-104.4247809,10.71118164,2.6,ml,12,87,0.06471262888,0.2,tx,tx2022jthp,2022-05-20T17:56:13.364Z,"",earthquake,1.135909198,1.304395088,0.2,7,reviewed,tx,tx
2022-05-19T15:12:03.645Z,55.4041,-155.1003,0.3,2.6,ml,,,,1.13,ak,ak0226e4pckf,2022-05-19T17:11:47.452Z,"181 km SSW of Akhiok, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2022-05-19T12:52:00.230Z,33.5018333,-116.504,13.99,2.7,ml,110,27,0.05993,0.19,ci,ci40022359,2022-05-19T17:24:20.630Z,"17km ESE of Anza, CA",earthquake,0.12,0.21,0.151,24,reviewed,ci,ci
2022-05-19T12:38:29.510Z,-17.3669,-178.7937,554.61,4.8,mb,,112,3.031,1.03,us,us6000hmbh,2022-05-19T12:55:19.040Z,"214 km ENE of Levuka, Fiji",earthquake,10.8,8.3,0.027,426,reviewed,us,us
2022-05-19T12:22:26.791Z,8.999,-82.794,10,4,ml,,149,0.229,0.86,us,us6000hmgq,2022-05-19T21:22:26.128Z,"18 km N of Santa Clara, Panama",earthquake,6.9,2,0.085,18,reviewed,us,us
2022-05-19T12:03:32.170Z,18.8863334655762,-155.519668579102,13.6199998855591,3.19,ml,48,274,,0.289999992,hv,hv73017147,2022-05-20T12:05:28.177Z,"21 km SSE of Naalehu, Hawaii",earthquake,2.92,4.28999996,3.72,29,automatic,hv,hv
2022-05-19T12:03:32.140Z,18.9258333333333,-155.5385,37.06,3.46,ml,56,271,,0.12,hv,hv73017142,2022-05-19T22:42:36.611Z,"16 km SSE of Naalehu, Hawaii",earthquake,0.8,0.86,0.161993328032104,37,reviewed,hv,hv
2022-05-19T11:52:08.877Z,28.42803955,-98.80457261,16.50695801,2.6,ml,11,98,0.3348141815,0.3,tx,tx2022jtax,2022-05-19T21:16:48.847Z,"4 km S of Fowlerton, Texas",earthquake,3.266392125,2.089475491,0.1,6,reviewed,tx,tx
2022-05-19T11:15:07.049Z,33.3392,141.4901,10,4.9,mb,,133,1.422,0.92,us,us6000hmaz,2022-05-19T11:36:12.040Z,"227 km SSE of Katsuura, Japan",earthquake,8.3,1.8,0.049,128,reviewed,us,us
